Clump_Name,idx_cores,Mgas,radius_pc,Ncol_H2_peak,surface_col,T_nh3,sig_tot_deu,Mvir,alpha_vir,a_G,a_K,Proto_pre
,,Msun,pc,1E+23 cm^-2,g * cm^-2,K,km/s,Msun,,pc Myr^-2,pc Myr^-2,
G10.99,1,6.9,0.024,1.62,0.78,13.4,0.34,2.47,0.36,10.54,5.09,3
G10.99,2,1.68,0.009,1.53,1.41,12.5,0.34,0.78,0.46,18.99,13.45,1
G10.99,3,3.1,0.013,1.57,1.27,12.1,0.47,2.14,0.69,17.19,18.49,1
G10.99,4,2.05,0.014,1.06,0.7,14.1,0.24,0.66,0.32,9.52,4.48,3
G10.99,5,3.24,0.015,1.16,0.96,10.8,0.25,0.66,0.2,13.04,4.44,0
G10.99,6,0.6,0.007,0.82,0.78,13.2,,,,10.57,,3
G10.99,7,2.87,0.016,0.75,0.72,12.2,0.27,0.98,0.34,9.69,4.58,0
G10.99,8,2.17,0.017,0.68,0.52,12.3,0.35,1.37,0.63,7.08,7.7,0
G10.99,9,1.44,0.012,0.66,0.71,11.5,0.4,1.34,0.93,9.58,14.04,0
G10.99,10,0.92,0.013,0.55,0.35,12.8,0.34,1.04,1.12,4.79,8.97,1
G10.99,11,0.53,0.007,0.62,0.79,11.8,0.22,0.22,0.41,10.65,7.59,1
G10.99,12,0.45,0.007,0.63,0.63,11.4,,,,8.55,,1
G10.99,13,0.86,0.012,0.47,0.38,13.2,,,,5.11,,2
G10.99,14,0.52,0.008,0.55,0.48,11.3,0.42,1.03,1.99,6.55,21.55,0
G10.99,15,0.52,0.01,0.48,0.36,12.5,,,,4.88,,0
G10.99,16,0.59,0.01,0.48,0.36,11.8,,,,4.9,,0
G10.99,17,1.41,0.017,0.45,0.33,12.3,0.62,5.3,3.77,4.48,24.02,2
G10.99,18,0.74,0.01,0.46,0.5,11.7,0.32,0.73,0.97,6.75,10.83,0
G10.99,19,0.36,0.007,0.37,0.43,13.5,,,,5.88,,0
G10.99,20,0.33,0.007,0.45,0.5,11.6,0.38,0.73,2.19,6.74,22.63,0
G10.99,21,0.28,0.008,0.36,0.33,13.3,0.41,0.98,3.48,4.45,23.59,0
G10.99,22,0.34,0.007,0.46,0.44,11.3,,,,5.98,,0
G10.99,23,0.73,0.011,0.46,0.41,11.2,,,,5.53,,0
G10.99,24,0.49,0.013,0.27,0.2,14.9,,,,2.64,,0
G10.99,25,1.59,0.022,0.33,0.22,12.6,0.3,1.34,0.84,2.96,4.15,2
G10.99,26,0.34,0.009,0.28,0.28,14,,,,3.74,,0
G10.99,27,0.29,0.007,0.32,0.35,12.7,0.45,1.02,3.47,4.7,28.37,2
G10.99,28,0.28,0.01,0.25,0.2,14.1,,,,2.74,,3
G14.49,1,15.43,0.017,4.69,3.39,16,0.72,7.64,0.5,45.74,30.98,3
G14.49,2,6.51,0.012,3.54,3,18.2,,,,40.53,,3
G14.49,3,7.22,0.016,3.01,1.82,15.8,0.3,1.13,0.16,24.58,5.75,3
G14.49,4,3.73,0.011,2.33,2.23,17,,,,30.2,,3
G14.49,5,2.5,0.009,2.15,2.2,16.5,,,,29.73,,3
G14.49,6,1.44,0.006,1.75,2.28,16.8,0.32,0.46,0.32,30.87,16.39,3
G14.49,7,4.4,0.013,1.66,1.73,16.1,0.31,0.98,0.22,23.42,7.79,3
G14.49,8,1.91,0.008,1.68,2.08,15.6,0.45,1.25,0.66,28.05,26.67,3
G14.49,9,1.66,0.008,1.64,1.7,15.7,0.31,0.55,0.33,22.96,12.05,0
G14.49,10,3.11,0.012,1.45,1.53,16.8,0.43,1.7,0.55,20.65,16.28,3
G14.49,11,3.42,0.011,1.63,1.86,14.6,0.69,3.61,1.06,25.09,45.08,3
G14.49,12,1.43,0.008,1.39,1.53,14.6,0.53,1.58,1.11,20.71,36.93,2
G14.49,13,0.79,0.006,1.14,1.43,16.6,0.69,2.09,2.64,19.34,82.97,2
G14.49,14,0.89,0.006,1.49,1.93,13.8,0.4,0.62,0.7,26.1,30.03,3
G14.49,15,0.71,0.005,1.34,1.79,14.4,0.27,0.28,0.4,24.2,14.95,2
G14.49,16,5.35,0.016,1.31,1.36,13.9,0.43,2.3,0.43,18.41,11.9,0
G14.49,17,2.87,0.012,1.23,1.43,13.6,,,,19.39,,2
G14.49,18,4.28,0.016,1.02,1.15,14.9,0.4,1.97,0.46,15.53,10.88,3
G14.49,19,8.11,0.022,1.5,1.16,11.1,0.29,1.21,0.15,15.67,3.96,2
G14.49,20,0.69,0.007,0.77,0.85,17.2,0.36,0.61,0.89,11.45,18.12,2
G14.49,21,2.93,0.017,0.87,0.69,13.9,0.31,1.11,0.38,9.32,5.96,0
G14.49,22,0.58,0.006,0.81,1.09,14,,,,14.67,,0
G14.49,23,1.64,0.013,0.65,0.69,15.9,,,,9.3,,3
G14.49,24,0.56,0.007,0.61,0.77,16.2,,,,10.41,,3
G14.49,25,1.84,0.013,0.7,0.72,14.5,,,,9.74,,3
G14.49,26,1.32,0.012,0.59,0.62,15.9,,,,8.36,,3
G14.49,27,1.13,0.01,0.67,0.72,14.7,0.25,0.41,0.37,9.79,6.15,0
G14.49,28,1.01,0.012,0.59,0.44,15.2,,,,5.93,,3
G14.49,29,0.78,0.009,0.61,0.64,14.8,,,,8.7,,1
G14.49,30,0.68,0.008,0.58,0.66,15.2,,,,8.97,,2
G14.49,31,3.04,0.02,0.56,0.52,15.6,0.33,1.58,0.52,7.09,5.65,3
G14.49,32,0.57,0.007,0.67,0.78,13.8,,,,10.6,,0
G14.49,33,4.75,0.013,2.34,1.9,6.5,,,,25.67,,2
G14.49,34,1.05,0.011,0.54,0.53,14.2,,,,7.21,,0
G14.49,35,1.13,0.012,0.6,0.54,13.2,0.32,0.94,0.84,7.34,9.21,0
G14.49,36,0.54,0.008,0.46,0.51,14.6,,,,6.82,,0
G14.49,37,0.61,0.012,0.36,0.28,15.7,,,,3.79,,2
G28.23,1,8.82,0.022,1.88,1.19,9.9,,,,16.03,,1
G28.23,2,12.89,0.03,1.07,0.95,10.7,0.46,4.25,0.33,12.9,7.39,0
G28.23,3,17.67,0.031,1.43,1.26,8.9,0.6,7.57,0.43,16.96,12.2,2
G28.23,4,1.57,0.011,0.68,0.79,13.5,0.36,1.35,0.86,10.74,12.04,0
G28.23,5,16.94,0.031,1.26,1.2,8.1,0.58,7.93,0.47,16.19,11.61,2
G28.23,6,4.48,0.024,0.54,0.53,12.7,0.42,3.25,0.72,7.22,7.87,3
G28.23,7,1.23,0.013,0.48,0.52,13.5,,,,7.01,,0
G28.23,8,5.32,0.028,0.61,0.46,10.8,0.7,8.61,1.62,6.18,18.32,0
G28.23,9,1.56,0.019,0.33,0.3,16.3,,,,4.08,,0
G28.23,10,2.38,0.018,0.51,0.48,11.6,,,,6.55,,0
G28.23,11,2.96,0.024,0.41,0.33,11.5,,,,4.48,,0
G28.23,12,7.01,0.031,0.53,0.47,9.5,0.36,2.78,0.4,6.38,4.28,0
G28.23,13,4.53,0.022,0.79,0.63,7,,,,8.51,,0
G327.11,1,10.8,0.024,2.34,1.25,14.1,0.37,2.37,0.22,16.83,6.08,3
G327.11,2,6.43,0.015,2.51,2.01,10.4,0.28,0.94,0.15,27.16,5.74,3
G327.11,3,2.08,0.017,0.93,0.48,17,0.49,3.08,1.48,6.49,14.91,3
G327.11,4,1.26,0.016,0.54,0.33,16.4,0.24,0.72,0.57,4.42,3.81,1
G327.11,5,1.79,0.023,0.36,0.23,15.9,,,,3.06,,0
G327.11,6,0.25,0.007,0.31,0.38,16.9,,,,5.14,,0
G327.11,7,0.2,0.006,0.27,0.34,18.6,0.35,0.61,2.98,4.55,20.14,0
G327.11,8,0.51,0.01,0.32,0.35,15.9,,,,4.75,,0
G327.11,9,1.05,0.016,0.36,0.27,14.6,,,,3.66,,0
G327.11,10,2.16,0.02,0.4,0.37,12.6,,,,5.06,,0
G327.11,11,2.98,0.022,0.49,0.4,11.1,,,,5.44,,0
G327.11,12,0.42,0.012,0.2,0.19,20.4,,,,2.53,,0
G327.11,13,1.4,0.027,0.29,0.13,15.9,0.44,3.63,2.59,1.69,7.33,0
G327.11,14,1.01,0.016,0.28,0.26,14.7,,,,3.57,,0
G327.11,15,0.3,0.008,0.27,0.31,13.4,,,,4.15,,0
G327.11,16,0.4,0.01,0.24,0.28,14.2,,,,3.73,,0
G327.11,17,0.31,0.011,0.18,0.18,15.9,,,,2.49,,0
G327.11,18,0.11,0.008,0.11,0.12,22.5,,,,1.67,,0
G327.11,19,0.26,0.012,0.14,0.11,18.3,,,,1.49,,0
G327.11,20,0.19,0.009,0.17,0.17,14.7,,,,2.3,,0
G327.11,21,0.29,0.011,0.18,0.15,14.4,,,,2,,0
G331.37,1,7.96,0.028,0.82,0.67,14.8,0.53,5.97,0.75,9.11,10.29,0
G331.37,2,1.88,0.015,0.68,0.55,16,,,,7.49,,0
G331.37,3,0.86,0.011,0.47,0.46,16.7,,,,6.16,,3
G331.37,4,4.21,0.035,0.37,0.23,17.8,,,,3.12,,1
G331.37,5,1.57,0.018,0.33,0.31,17.9,,,,4.23,,1
G331.37,6,1.6,0.018,0.35,0.33,16,,,,4.46,,0
G331.37,7,1.58,0.02,0.36,0.27,16,0.35,1.69,1.07,3.67,6.34,0
G331.37,8,2.54,0.022,0.5,0.35,12.3,0.22,0.8,0.32,4.68,2.36,0
G331.37,9,0.49,0.008,0.38,0.47,12.9,,,,6.39,,0
G331.37,10,0.74,0.013,0.27,0.3,16,,,,4.07,,0
G331.37,11,1.71,0.013,0.65,0.73,9,,,,9.83,,0
G331.37,12,3.57,0.034,0.29,0.21,15.1,0.34,3.05,0.85,2.81,3.64,0
G331.37,13,1.11,0.016,0.31,0.29,14.6,0.46,2.35,2.13,3.86,13.93,0
