Clump_Name,idx_cores,Ipeak_DCOp_pb,err_Ipeak_DCOp_pb,vlsr_DCOp,err_vlsr_DCOp,sig_DCOp,err_sig_DCOp,sig_nth_DCOp,err_sig_nth_DCOp,Mach_DCOp,err_Mach_DCOp,Ipeak_N2Dp_pb,err_Ipeak_N2Dp_pb,vlsr_N2Dp,err_vlsr_N2Dp,sig_N2Dp,err_sig_N2Dp,sig_nth_N2Dp,err_sig_nth_N2Dp,Mach_N2Dp,err_Mach_N2Dp
,,K,K,km/s,km/s,km/s,km/s,km/s,km/s,,,K,K,km/s,km/s,km/s,km/s,km/s,km/s,,
G10.99,1,0.41,0.03,29.75,0.03,0.28,0.03,0.27,0.03,1.24,0.14,0.33,0.03,29.69,0.05,0.23,0.12,0.21,0.13,0.95,0.61
G10.99,2,,,,,,,,,,,0.57,0.06,29.89,0.09,0.28,0.25,0.27,0.27,1.27,1.29
G10.99,3,0.51,0.05,29.63,0.05,0.44,0.05,0.43,0.05,2.07,0.25,0.32,0.03,29.97,0.13,0.53,0.38,0.52,0.39,2.54,1.88
G10.99,4,,,,,,,,,,,0.22,0.02,30.01,0.1,0.14,0.07,0.1,0.1,0.46,0.43
G10.99,5,0.79,0.11,29.9,0.03,0.18,0.03,0.16,0.03,0.82,0.22,0.71,0.07,29.72,0.06,0.22,0.13,0.2,0.15,1.01,0.77
G10.99,6,,,,,,,,,,,,,,,,,,,,
G10.99,7,1.74,0.07,29.56,0.01,0.19,0.01,0.17,0.01,0.82,0.06,0.55,0.05,29.41,0.04,0.18,0.05,0.15,0.05,0.73,0.26
G10.99,8,0.44,0.06,29.83,0.05,0.3,0.05,0.28,0.05,1.35,0.26,,,,,,,,,,
G10.99,9,0.66,0.07,29.52,0.04,0.35,0.04,0.34,0.04,1.69,0.23,0.56,0.06,29.46,0.07,0.2,0.08,0.17,0.09,0.87,0.44
G10.99,10,0.29,0.05,30.46,0.05,0.28,0.05,0.26,0.06,1.23,0.27,0.42,0.04,30.17,0.05,0.11,0.05,0.06,0.09,0.3,0.44
G10.99,11,0.87,0.16,29.78,0.03,0.13,0.02,0.09,0.04,0.43,0.18,,,,,,,,,,
G10.99,12,,,,,,,,,,,,,,,,,,,,
G10.99,13,,,,,,,,,,,,,,,,,,,,
G10.99,14,0.32,0.06,28.76,0.08,0.38,0.08,0.37,0.08,1.84,0.4,,,,,,,,,,
G10.99,15,,,,,,,,,,,,,,,,,,,,
G10.99,16,,,,,,,,,,,,,,,,,,,,
G10.99,17,0.17,0.03,29.31,0.11,0.59,0.11,0.59,0.11,2.82,0.54,,,,,,,,,,
G10.99,18,0.25,0.06,28.86,0.07,0.27,0.07,0.25,0.07,1.24,0.37,,,,,,,,,,
G10.99,19,,,,,,,,,,,,,,,,,,,,
G10.99,20,0.41,0.07,28.55,0.06,0.33,0.06,0.32,0.07,1.6,0.33,,,,,,,,,,
G10.99,21,0.39,0.05,29.65,0.06,0.36,0.06,0.35,0.06,1.64,0.29,,,,,,,,,,
G10.99,22,,,,,,,,,,,,,,,,,,,,
G10.99,23,,,,,,,,,,,,,,,,,,,,
G10.99,24,,,,,,,,,,,,,,,,,,,,
G10.99,25,0.29,0.05,28.89,0.04,0.23,0.04,0.21,0.05,0.99,0.24,,,,,,,,,,
G10.99,26,,,,,,,,,,,,,,,,,,,,
G10.99,27,0.24,0.05,29.8,0.1,0.41,0.1,0.4,0.1,1.89,0.48,0.53,0.05,29.44,0.05,0.12,0.08,0.07,0.13,0.35,0.63
G10.99,28,,,,,,,,,,,,,,,,,,,,
G14.49,1,0.46,0.03,38.82,0.06,0.69,0.06,0.68,0.06,2.87,0.25,0.51,0.05,38.55,0.05,0.3,0.08,0.28,0.09,1.19,0.36
G14.49,2,,,,,,,,,,,,,,,,,,,,
G14.49,3,,,,,,,,,,,0.47,0.05,41.05,0.05,0.21,0.08,0.18,0.1,0.79,0.41
G14.49,4,,,,,,,,,,,,,,,,,,,,
G14.49,5,,,,,,,,,,,,,,,,,,,,
G14.49,6,0.6,0.11,39.29,0.05,0.23,0.05,0.21,0.05,0.85,0.22,1.3,0.13,41.39,0.04,0.27,0.09,0.25,0.09,1.03,0.38
G14.49,7,0.64,0.07,40.08,0.03,0.22,0.03,0.2,0.03,0.85,0.13,1.83,0.18,40.2,0.02,0.21,0.03,0.19,0.03,0.8,0.13
G14.49,8,0.38,0.06,40.66,0.07,0.39,0.07,0.38,0.07,1.63,0.31,0.51,0.05,40.35,0.06,0.34,0.18,0.32,0.19,1.38,0.81
G14.49,9,,,,,,,,,,,0.41,0.04,40.27,0.06,0.22,0.11,0.2,0.12,0.84,0.51
G14.49,10,,,,,,,,,,,0.87,0.09,40.27,0.04,0.36,0.13,0.35,0.13,1.44,0.54
G14.49,11,0.29,0.05,39.55,0.13,0.66,0.13,0.65,0.13,2.89,0.56,1.34,0.13,40.32,0.03,0.29,0.05,0.28,0.05,1.23,0.21
G14.49,12,0.5,0.07,38.72,0.08,0.49,0.08,0.48,0.08,2.11,0.34,0.58,0.06,38.48,0.05,0.25,0.13,0.23,0.14,1,0.61
