Clump_Name,cores,N_H2,n_H2,T_nh3, I_C18O ,err_ I_C18O ,vlsr_C18O,err_vlsr_C18O,sig_C18O,err_sig_C18O,N_C18O,err_N_C18O, I_DCOp ,err_ I_DCOp ,vlsr_DCOp,err_vlsr_DCOp,sig_DCOp,err_sig_DCOp,N_DCOp,err_N_DCOp, I_N2Dp ,err_ I_N2Dp ,vlsr_N2Dp,err_vlsr_N2Dp,sig_N2Dp,err_sig_N2Dp,N_N2Dp,err_N_N2Dp, I_H2CO ,err_ I_H2CO ,vlsr_H2CO,err_vlsr_H2CO,sig_H2CO,err_sig_H2CO,N_H2CO,err_N_H2CO, I_CH3OH ,err_ I_CH3OH ,vlsr_CH3OH,err_vlsr_CH3OH,sig_CH3OH,err_sig_CH3OH,N_CH3OH,err_N_CH3OH, I_smoothSiO ,err_ I_smoothSiO ,vlsr_smoothSiO,err_vlsr_smoothSiO,sig_smoothSiO,err_sig_smoothSiO,N_smoothSiO,err_N_smoothSiO, I_CCD ,err_ I_CCD ,vlsr_CCD,err_vlsr_CCD,sig_CCD,err_sig_CCD,N_CCD,err_N_CCD, I_DCN ,err_ I_DCN ,vlsr_DCN,err_vlsr_DCN,sig_DCN,err_sig_DCN,N_DCN,err_N_DCN, I_13CS,err_ I_13CS,vlsr_13CS,err_vlsr_13CS,sig_13CS,err_sig_13CS,N_13CS,err_N_13CS
,,cm^-2,cm^-3,K,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,K,K,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2
,,1.00E+22,1.00E+06,,,,,,,,1.00E+14,1.00E+14,,,,,,,1.00E+11,1.00E+11,,,,,,,1.00E+11,1.00E+11,,,,,,,1.00E+13,1.00E+13,,,,,,,1.00E+13,1.00E+13,,,,,,,1.00E+12,1.00E+12,,,,,,,1.00E+12,1.00E+12,,,,,,,1.00E+12,,,,,,,,1.00E+12,1.00E+12
G10.99,1,4.78,1.59,13.4,0.69,0.09,30.16,0.12,0.76,0.12,8.35,1.77,0.41,0.03,29.75,0.03,0.28,0.03,1.92,0.26,0.33,0.03,29.69,0.05,0.23,0.12,2.34,1.27,0.93,0.01,30.21,0.02,1.32,0.02,1.25,0.19,0.27,0.01,30.04,0.07,1.19,0.07,1.36,0.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,2,8.31,7.8,12.5,0.39,0.08,29.96,0.13,0.49,0.11,3.21,1.01,-,-,-,-,-,-,-,-,0.57,0.06,29.89,0.09,0.28,0.25,4.84,4.39,0.46,0.04,28.67,0.11,1.17,0.11,0.55,0.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,3,7.43,4.96,12.1,0.65,0.04,29.92,0.07,1.07,0.07,11.69,1.16,0.51,0.05,29.63,0.05,0.44,0.05,4.02,0.63,0.32,0.03,29.97,0.13,0.53,0.38,4.64,3.36,0.63,0.02,30.28,0.04,0.94,0.04,0.61,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,4,3.94,2.5,14.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.22,0.02,30.01,0.1,0.14,0.07,2.66,1.37,0.38,0.02,29.89,0.08,1.37,0.08,0.53,0.09,0.22,0.02,29.72,0.14,1.11,0.14,0.95,0.21,0.17,0.02,28.13,0.26,2.44,0.26,1.77,0.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,5,7.63,3.21,10.8,0.62,0.04,29.28,0.09,1.12,0.09,12.22,1.47,0.79,0.11,29.9,0.03,0.18,0.03,2.86,0.62,0.71,0.07,29.72,0.06,0.22,0.13,5.78,3.6,0.17,0.04,30.11,0.17,0.64,0.17,0.12,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,6,5.45,5.41,13.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.06,0.04,25.22,0.22,4.69,0.22,5.05,0.81,1.21,0.07,26.98,0.16,2.36,0.16,12.47,2.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,7,5.36,2.18,12.2,1.23,0.05,29.62,0.04,0.85,0.04,17.05,1.36,1.74,0.07,29.56,0.01,0.19,0.01,5.98,0.49,0.55,0.05,29.41,0.04,0.18,0.05,4.9,1.38,0.2,0.02,30.3,0.14,1.07,0.14,0.22,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,8,4.85,1.57,12.3,0.8,0.04,30.13,0.04,0.7,0.04,9.01,0.87,0.44,0.06,29.83,0.05,0.3,0.05,2.32,0.52,-,-,-,-,-,-,-,-,0.22,0.03,30.34,0.11,0.71,0.11,0.16,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,9,5.29,3.03,11.5,0.84,0.05,29.38,0.05,0.74,0.05,10.23,0.99,0.66,0.07,29.52,0.04,0.35,0.04,4.31,0.72,0.56,0.06,29.46,0.07,0.2,0.08,6.96,2.89,0.23,0.03,29.56,0.17,1.27,0.17,0.3,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,10,2.9,1.33,12.8,-,-,-,-,-,-,-,-,0.29,0.05,30.46,0.05,0.28,0.05,1.39,0.36,0.42,0.04,30.17,0.05,0.11,0.05,1.75,0.84,0.38,0.03,30.48,0.07,0.68,0.07,0.26,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,11,5.27,5.84,11.8,0.33,0.06,30.74,0.23,1.1,0.23,5.99,1.68,0.87,0.16,29.78,0.03,0.13,0.02,2.02,0.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.09,0.11,20.21,0.05,0.34,0.04,2.14,0.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,12,4.8,4.56,11.4,0.53,0.09,30.14,0.11,0.54,0.11,4.74,1.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.36,0.04,31.83,0.2,1.71,0.2,0.64,0.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,13,3.15,1.52,13.2,0.8,0.06,28.99,0.08,0.96,0.08,11.83,1.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.64,0.03,29.05,0.07,1.26,0.07,0.82,0.14,0.19,0.03,28.82,0.19,0.92,0.19,0.78,0.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
